,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
628,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457841,Curieuse politique du personnel dans le département de la conseillère fédérale Widmer-Schlumpf,Eigenartige Personalpolitik im Departement Widmer-Schlumpf,Fehr Hans,m,Zürich,ZH,Staatspolitik
629,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457842,Droit de visite du CICR,Besuchsrecht des IKRK,Müller Geri,m,Aargau,AG,Internationale Politik
630,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457843,Solution provisoire pour le versement des rentes au Kosovo,Provisorische Lösung für die Auszahlung von Renten nach Kosovo,Leuenberger Ueli,m,Genf,GE,Soziale Fragen
631,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457844,Un conseil des gardiens pour traquer les coûts de la santé inutiles,Wächterrat gegen unnötige Kosten für Gesundheit,Ingold Maja,f,Zürich,ZH,Gesundheit
632,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457845,Frais administratifs des caisses de pension,Verwaltungskosten der Pensionskassen,Humbel Ruth,f,Aargau,AG,Soziale Fragen
633,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457846,Stratégie contre la pauvreté,Strategie gegen Armut,Simoneschi-Cortesi Chiara,f,Tessin,TI,Soziale Fragen
634,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457847,Audition sur le projet de rapport 2010 sur l'armée,Anhörungsverfahren zum Entwurf des Armeeberichtes 2010,Allemann Evi,f,Bern,BE,Sicherheitspolitik
635,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457848,Contournement de Berthoud dans l'Emmental,Umfahrung Burgdorf-Emmental,Aebi Andreas,m,Bern,BE,Verkehr
636,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457849,Double mandat de Jürg Bucher,Doppelmandat von Jürg Bucher,von Graffenried Alec,m,Bern,BE,Medien und Kommunikation
637,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457850,Principes directeurs de l'OCDE à l'intention des entreprises multinationales. Position du Conseil fédéral,Leitsätze für multinationale Unternehmen der OECD. Position des Bundesrates,Müller Geri,m,Aargau,AG,Wirtschaft
638,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457851,Grippe H1N1,Schweinegrippe H1N1,Freysinger Oskar,m,Wallis,VS,Gesundheit
639,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457852,Billag. Et maintenant?,Billag. Wie weiter?,Amstutz Adrian,m,Bern,BE,Medien und Kommunikation
640,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457853,Départs au DFJP,Abgänge beim EJPD,Kunz Josef,m,Luzern,LU,Staatspolitik
