,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
9547,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497941,Caisse publique d'assurance-maladie. Economies possibles,Sparpotenzial einer öffentlichen Krankenkasse,Kiener Nellen Margret,f,Bern,BE,Gesundheit
9548,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497942,L'Institut de recherches en agriculture biologique survivra-t-il à la suspension du programme Horizon 2020?,Wird das Forschungsinstitut für biologischen Landbau die Sistierung des Programms Horizon 2020 überleben?,Gschwind Jean-Paul,m,Jura,JU,Europapolitik
9549,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497943,Passage à l'échange automatique de renseignements. Maintenir les coûts de régulation à un niveau bas,Wechsel zum automatischen Informationsaustausch. Regulierungskosten tief halten,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
9550,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497944,Flux migratoires spécifiques dans le canton de Genève,Spezifische Migrationsströme im Kanton Genf,Barazzone Guillaume,m,Genf,GE,Migration
9551,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497945,Négociations avec l'UE. La voie bilatérale est-elle trop compliquée ou les négociateurs suisses sont-ils dépassés par la complexité des dossiers?,"Verhandlungen mit der EU. Ist der bilaterale Weg zu kompliziert, oder verhandeln überforderte Leute für die Schweiz?",Büchel Roland Rino,m,St. Gallen,SG,Europapolitik
9552,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497946,Pas d'augmentation des subventions pour les associations de protection des consommateurs,Keine Subventionserhöhungen für Konsumentenorganisationen,Flückiger-Bäni Sylvia,f,Aargau,AG,Wirtschaft
9553,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497947,Le Conseil fédéral exige-t-il de la FIFA une transparence totale?,Verlangt der Bundesrat von der Fifa Transparenz?,Schneider Schüttel Ursula,f,Freiburg,FR,Soziale Fragen
9554,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497948,"Est-il admissible que Tim Guldimann, ambassadeur de Suisse et représentant spécial de l'OSCE, exprime publiquement un engagement partisan?",Ist das exponierte parteipolitische Engagement des Schweizer Botschafters und OSZE-Sonderbeauftragten Tim Guldimann tolerierbar?,Reimann Maximilian,m,Aargau,AG,Internationale Politik
9555,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497949,Critiquables exportations d'armes à destination de l'Ukraine,Fragwürdige Waffenexporte nach der Ukraine,Chopard-Acklin Max,m,Aargau,AG,Sicherheitspolitik
9556,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497950,Optimisation fiscale via les sociétés offshore des sociétés suisses,Steueroptimierung via Offshore-Gesellschaften von Schweizer Unternehmen,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
